Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
2762,15/01/2017,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,550.0,129.31
2763,15/01/2017,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,17.0,4.0
2765,15/01/2017,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (imported),cereals and tubers,64,50 KG,actual,Wholesale,GHS,280.0,65.83
2906,15/01/2019,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,141.96,29.21
2907,15/01/2019,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,17.6,3.62
3193,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apentu),vegetables and fruits,98,Bunch,"actual,aggregate",Wholesale,GHS,79.78,14.12
3194,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (local),cereals and tubers,71,50 KG,"actual,aggregate",Wholesale,GHS,257.0,45.49
3195,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (imported),cereals and tubers,64,50 KG,"actual,aggregate",Wholesale,GHS,274.9,48.65
3196,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize,cereals and tubers,51,100 KG,"actual,aggregate",Wholesale,GHS,186.0,32.92
3197,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cassava,cereals and tubers,68,91 KG,"actual,aggregate",Wholesale,GHS,388.48,68.76
3246,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,675.0,119.47
3393,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Sorghum,cereals and tubers,65,KG,aggregate,Retail,GHS,0.67,0.12
3446,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Yam (puna),cereals and tubers,737,250 KG,aggregate,Wholesale,GHS,282.8,50.05
