Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
2333,15/01/2012,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,83.5,48.74
2334,15/01/2012,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,68.0,39.69
2335,15/01/2012,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,180.0,105.06
2336,15/01/2012,Kumasi,Kma,215,6.68,-1.62,Sorghum,cereals and tubers,65,109 KG,actual,Wholesale,GHS,92.75,54.13
2361,15/01/2012,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,5.0,2.92
2362,15/01/2012,Kumasi,Kma,215,6.68,-1.62,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,22.25,12.99
2364,15/01/2013,Obuasi,Obuasi Municipal,216,6.2,-1.67,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,90.0,47.37
2365,15/01/2013,Obuasi,Obuasi Municipal,216,6.2,-1.67,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,50.0,26.32
2366,15/01/2013,Obuasi,Obuasi Municipal,216,6.2,-1.67,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,250.0,131.58
2367,15/01/2013,Obuasi,Obuasi Municipal,216,6.2,-1.67,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,5.0,2.63
2387,15/01/2013,Obuasi,Obuasi Municipal,216,6.2,-1.67,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,35.0,18.42
2388,15/01/2013,Kumasi,Kma,215,6.68,-1.62,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,5.75,3.03
2389,15/01/2013,Kumasi,Kma,215,6.68,-1.62,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,235.0,123.68
2390,15/01/2013,Kumasi,Kma,215,6.68,-1.62,Sorghum,cereals and tubers,65,109 KG,actual,Wholesale,GHS,105.0,55.26
2404,15/01/2013,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,28.75,15.13
2405,15/01/2013,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,52.5,27.63
2406,15/01/2013,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,75.0,39.47
2407,15/01/2013,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,242.5,127.63
2408,15/01/2013,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,7.5,3.95
2409,15/01/2013,Kumasi,Kma,215,6.68,-1.62,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,42.25,22.24
2410,15/01/2013,Kumasi,Kma,215,6.68,-1.62,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,78.75,41.45
2411,15/01/2013,Kumasi,Kma,215,6.68,-1.62,Millet,cereals and tubers,73,93 KG,actual,Wholesale,GHS,123.75,65.13
2412,15/01/2013,Kumasi,Kma,215,6.68,-1.62,Rice (imported),cereals and tubers,64,50 KG,actual,Wholesale,GHS,161.0,84.74
2413,15/01/2013,Kumasi,Kma,215,6.68,-1.62,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,74.0,38.95
2414,15/01/2013,Kumasi,Kma,215,6.68,-1.62,Rice (paddy),cereals and tubers,203,84 KG,actual,Wholesale,GHS,88.0,46.32
2504,15/01/2014,Kumasi,Kma,215,6.68,-1.62,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,6.7,2.8
