date,year,month,day,region,city,market_sold_at,latitude,longitude,unit(KG),cedi_price,cedi_price/kg
2008-08-15,2008,8,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,2.8,2.8
2008-08-15,2008,8,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,4.5,4.5
2008-08-15,2008,8,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,1.0,3.55,3.55
2008-08-15,2008,8,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,1.0,4.25,4.25
2008-08-15,2008,8,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,1.0,4.75,4.75
2008-08-15,2008,8,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,1.0,3.15,3.15
2008-08-15,2008,8,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,1.0,4.75,4.75
2008-08-15,2008,8,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,1.0,6.75,6.75
2008-08-15,2008,8,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,5.5,5.5
2008-08-15,2008,8,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,8.75,8.75
2008-08-15,2008,8,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,1.0,6.0,6.0
2008-08-15,2008,8,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,1.0,5.58,5.58
2008-09-15,2008,9,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,2.5,2.5
2008-09-15,2008,9,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,4.0,4.0
2008-09-15,2008,9,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,1.0,3.1,3.1
2008-09-15,2008,9,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,1.0,3.4,3.4
2008-09-15,2008,9,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,1.0,4.13,4.13
2008-09-15,2008,9,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,1.0,2.75,2.75
2008-09-15,2008,9,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,1.0,3.38,3.38
2008-09-15,2008,9,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,1.0,6.25,6.25
